TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 1000
timestep	f_total	f_elasticity	f_contraction	f_adhesion	f_motility	e_total	e_elasticity	e_adhesion	e_contraction	shape
3.81	25.7021	24.4123	17.5079	7.64398	27.4972	77.5944	0.73404	46.6002	30.2602	3.88335
3.82	26.3472	24.408	17.4983	7.64134	25.4185	77.5895	0.73383	46.5982	30.2575	3.88319
3.83	25.3938	24.3843	17.4944	7.63716	20.1223	77.585	0.731716	46.5974	30.2559	3.88311
3.84	25.6764	24.3924	17.4628	7.63094	21.6707	77.5797	0.732105	46.595	30.2526	3.88291
3.85	23.0743	24.3918	17.4531	7.62896	20.9959	77.5735	0.731784	46.5924	30.2492	3.8827
3.86	22.5193	24.36	17.4438	7.62568	21.1848	77.5703	0.730468	46.5917	30.2481	3.88264
3.87	25.7952	24.3417	17.4414	7.62469	23.9434	77.567	0.729024	46.591	30.2469	3.88258
3.88	24.1216	24.3366	17.4284	7.6226	22.6274	77.5632	0.728117	46.5898	30.2453	3.88249
3.89	23.269	24.3215	17.4151	7.62064	20.6439	77.5599	0.727332	46.5888	30.2438	3.8824
3.9	22.9995	24.3121	17.4112	7.61727	23.3227	77.5566	0.725874	46.5881	30.2426	3.88234
3.91	23.2253	24.3274	17.4002	7.61383	26.0725	77.5527	0.726357	46.5862	30.2401	3.88218
3.92	24.0237	24.2872	17.4085	7.61641	20.031	77.5495	0.72434	46.5858	30.2393	3.88215
3.93	26.6848	24.2967	17.3953	7.6143	23.5324	77.5462	0.723796	46.5847	30.2377	3.88206
3.94	22.3519	24.2886	17.3888	7.61436	23.9895	77.5411	0.722537	46.5831	30.2354	3.88193
3.95	22.9206	24.2903	17.3804	7.61061	21.9004	77.5384	0.721904	46.5822	30.2342	3.88185
3.96	26.6256	24.303	17.357	7.60418	26.1522	77.5339	0.722822	46.5799	30.2312	3.88166
3.97	23.7497	24.3019	17.3462	7.60279	20.825	77.5301	0.722175	46.5786	30.2294	3.88155
3.98	22.728	24.304	17.3521	7.60458	21.7027	77.5264	0.721912	46.5772	30.2274	3.88143
3.99	24.574	24.309	17.3542	7.60796	18.9885	77.5242	0.722524	46.5759	30.2258	3.88133
4	28.2927	24.2827	17.3488	7.60476	23.685	77.5216	0.720149	46.576	30.2255	3.88133
4.01	21.6441	24.2738	17.3187	7.59402	21.2014	77.5175	0.719537	46.5746	30.2234	3.88121
4.02	23.0468	24.2914	17.3105	7.59207	24.276	77.5141	0.720001	46.5729	30.2212	3.88108
4.03	24.2727	24.2725	17.2852	7.58402	25.6802	77.5103	0.719371	46.5716	30.2194	3.88097
4.04	25.2844	24.2325	17.2968	7.58759	22.9975	77.509	0.717072	46.5722	30.2198	3.88102
4.05	23.7126	24.2443	17.2804	7.57991	22.9627	77.507	0.717505	46.5711	30.2183	3.88093
4.06	21.726	24.2342	17.2695	7.57637	20.7221	77.5039	0.715825	46.5706	30.2175	3.88089
4.07	24.4783	24.2835	17.2512	7.57369	24.8217	77.5004	0.717765	46.5682	30.2144	3.88068
4.08	23.4192	24.2854	17.2546	7.57458	23.8643	77.4983	0.718549	46.5669	30.2128	3.88058
4.09	23.1396	24.3011	17.2508	7.57353	24.4736	77.495	0.719397	46.5651	30.2105	3.88043
4.1	24.4839	24.3211	17.2385	7.56907	24.8969	77.4918	0.719435	46.5637	30.2086	3.88031
