timestep = 0
vx	vy
5.06411	4.25689	
5.73055	4.01968	
6.96202	2.77583	
7.42038	2.91526	
8.01325	2.6304	
7.82218	2.86798	
6.53401	1.69946	
5.75547	3.01028	
5.67231	3.05561	
0.197578	4.66504	
0.469012	4.02947	
0.461815	3.72269	
3.0788	2.26395	
2.86721	2.63305	
1.75538	1.47012	
1.17924	1.84237	
0.667648	1.62484	
9.02068	0.24341	
9.54086	0.785219	
8.53024	1.08594	
9.80004	3.24145	
2.55371	5.61322	
2.80792	4.83046	
3.35983	5.1717	
1.70658	4.60981	
1.69985	4.75997	
2.46135	3.86742	
2.65243	3.87872	
2.50835	4.94887	
2.36827	5.07286	
1.31728	4.81383	
1.56708	4.83516	
0.335794	5.14222	
1.14434	6.07117	
1.25487	5.96057	
0.0532697	5.71346	
0.157715	5.67491	
2.36761	8.79252	
2.1525	8.39085	
2.42751	7.94654	
2.85902	8.91277	
2.63654	9.05743	
5.58984	5.95301	
5.6629	5.92895	
5.5482	6.90874	
6.57477	7.44229	
9.02368	0.129242	
2.71341	1.33386	
2.92616	1.49532	
3.20304	1.39502	
2.62035	0.240564	
2.64437	0.214602	
6.00529	1.33597	
5.51551	0.70781	
4.93957	1.99493	
4.53101	1.28559	
4.58397	1.68213	
2.96225	3.75397	
3.08316	3.49316	
3.73361	4.53465	
3.30405	4.4184	
4.78926	3.95192	
4.25501	3.79186	
4.14619	3.61061	
5.25275	2.95153	
4.79252	2.38402	
4.21331	2.65602	
8.45677	1.15535	
9.33178	0.96426	
8.8911	2.04765	
8.92697	2.103	
9.26202	2.19094	
4.791	0.845616	
5.23074	0.633499	
4.04245	0.671572	
3.97854	0.758778	
7.96149	0.0136553	
8.18328	1.0223	
7.76448	0.664721	
7.63527	1.7543	
7.48189	1.83986	
6.32105	1.38776	
6.4288	1.66228	
4.04618	0.457204	
4.84725	0.263382	
6.49923	1.14301	
7.59246	0.69531	
timestep = 0.03
vx	vy
5.73726	9.4199	
6.6901	9.22229	
6.22387	5.0693	
8.91832	4.92428	
8.7737	4.94932	
9.44291	7.23134	
1.12039	9.7949	
8.17355	3.84626	
5.86677	4.06142	
6.59483	3.82722	
4.14117	6.12956	
6.50193	7.92491	
4.92302	7.11603	
4.98345	7.39518	
4.87081	7.88464	
4.2135	6.55779	
2.32337	7.44448	
2.4878	7.08266	
3.80583	7.27082	
3.80559	7.71848	
6.63348	4.8797	
6.88938	4.08294	
7.51627	4.14304	
7.3194	4.05935	
7.36293	5.90199	
5.03251	4.63697	
4.26182	5.53404	
4.27338	5.92892	
9.69494	6.51612	
9.98634	6.06384	
9.97416	5.90699	
1.63254	7.55763	
1.04625	6.96635	
0.931057	9.81217	
9.58461	8.31206	
9.09773	7.43127	
9.57678	8.65387	
9.86621	9.68959	
7.73282	8.0932	
6.78762	9.03924	
6.57876	9.22397	
8.73533	3.55922	
8.21507	3.75159	
8.31989	2.52658	
1.35483	3.5221	
1.22908	2.34962	
9.42219	3.47593	
9.32046	4.39338	
4.00733	5.22074	
2.475	6.73117	
2.78337	6.13408	
1.22808	6.43193	
3.61635	8.11862	
1.02865	9.71716	
7.47272	5.7803	
7.17069	5.15848	
7.61231	4.56751	
8.28334	5.62806	
8.42152	5.27813	
6.08413	5.27066	
5.98717	5.31078	
6.91864	5.85537	
9.58624	5.96623	
9.17266	6.47023	
8.74874	7.32942	
8.69943	6.66028	
7.54295	7.91888	
8.49998	6.01403	
8.51029	6.01454	
7.08546	7.88743	
7.13239	7.51789	
7.02155	7.81514	
7.02276	7.76706	
9.50415	8.84099	
9.49609	8.75497	
9.32336	8.67992	
8.22834	8.91585	
7.11501	9.24162	
8.50422	9.72703	
8.53389	9.46982	
8.44251	9.34867	
0.310573	9.90551	
6.56837	3.32036	
1.61765	3.17712	
1.6423	3.04265	
0.207437	1.62198	
9.93651	0.880671	
9.67721	3.21426	
9.38981	2.25481	
2.5803	5.83584	
4.99755	9.10858	
3.90668	8.30282	
5.1227	8.42044	
4.99039	8.26459	
3.54023	8.15615	
3.29271	8.8069	
2.47883	7.72116	
2.58986	9.15534	
1.1788	9.28184	
1.14531	8.86211	
6.39427	6.19716	
6.98439	7.72316	
5.74432	5.85259	
0.465698	7.84587	
1.12985	8.43834	
1.16235	8.64694	
1.11779	8.81563	
0.518934	7.15236	
0.425461	7.27294	
3.84378	9.56968	
3.77204	9.73769	
4.69152	9.27704	
4.64548	9.26467	
5.0633	4.25706	
5.72938	4.01789	
6.96088	2.7746	
7.41881	2.91539	
8.00856	2.62849	
7.81955	2.86641	
6.53547	1.70022	
5.75442	3.00493	
5.67199	3.05321	
0.193909	4.66306	
0.469275	4.02921	
0.461787	3.72061	
3.07595	2.26103	
2.86268	2.62518	
1.75974	1.47145	
1.18127	1.84628	
0.666781	1.62471	
9.01909	0.242631	
9.53958	0.78516	
8.52938	1.0845	
9.80096	3.23534	
2.55772	5.61549	
2.81034	4.83015	
3.35941	5.17697	
1.70584	4.60666	
1.69909	4.76125	
2.45988	3.86509	
2.6504	3.87922	
2.50854	4.94529	
2.36609	5.07382	
1.31632	4.81328	
1.56518	4.83644	
0.337352	5.14369	
1.14347	6.07063	
1.25728	5.95805	
0.0514853	5.71496	
0.159502	5.67399	
2.36372	8.79331	
2.14888	8.38781	
2.42739	7.94785	
2.86095	8.91167	
2.63582	9.05789	
5.58522	5.95502	
5.66446	5.92942	
5.543	6.90931	
6.5715	7.44079	
9.02289	0.129567	
2.71249	1.3353	
2.92495	1.49532	
3.20217	1.39663	
2.61936	0.24299	
2.64729	0.214112	
6.00704	1.3367	
5.52009	0.706152	
4.93868	1.99667	
4.53357	1.28553	
4.58143	1.68707	
2.9628	3.7532	
3.08597	3.49021	
3.73962	4.53298	
3.30473	4.41717	
4.78714	3.94895	
4.25775	3.79366	
