timestep = 0
vx        vy
4.7878   1.55231         
3.9199   2.07987         
3.0672   1.98009         
3.76181   2.97615         
2.65538   5.34691         
3.53822   1.64173         
3.91719  0.136269         
4.39232   0.13634         
4.962   1.58676         
4.73448   4.04954         
3.42798   2.98279         
4.0308   4.28076         
timestep = 0.9
vx        vy
2.41417     5.977         
5.9599   1.36272         
6.5983   5.88804         
6.93457   5.78882         
7.67492  0.247843         
7.0636   2.81961         
6.75988  0.091657         
7.76288   1.69624         
7.04782   4.64939         
0.763395   5.68798         
0.412726   0.17768         
0.594913  0.636628         
7.84925   1.08405         
0.395206   1.57486         
0.157146   2.09302         
7.82117   2.25505         
2.49531   4.26922         
1.2491   5.50457         
1.65908 0.0837758         
1.23946   0.66644         
1.21393   1.53644         
1.29781   1.75969         
1.92711   3.16002         
0.405379   1.75964         
1.70135   4.30388         
2.84549   3.90015         
1.73304  0.397507         
2.70616  0.921026         
2.20907   1.61064         
2.58477   1.99381         
2.96128   2.48251         
2.63595   2.90306         
3.24564    4.7525         
2.7644   4.77834         
3.10777   5.73892         
3.36383  0.690822         
4.80882   1.49797         
3.92318   2.04697         
2.92034   1.75853         
3.61668   2.85485         
2.31497   5.22589         
3.51769   1.16468         
3.774790.00693504         
4.46704  0.189422         
5.42338   1.52475         
4.67233   3.77679         
2.99885   2.79865         
3.99401   4.10962         
timestep = 1
vx        vy
2.37863  0.524969         
5.61657   1.37649         
6.01341   5.64858         
7.02618  0.245564         
7.27022   0.10119         
6.66576   2.48225         
6.72493  0.281703         
0.288996   1.28181         
6.72783   4.26778         
0.786889   5.71275         
0.405425   6.03848         
0.496719  0.504741         
7.75568  0.272717         
0.231406   1.44915         
0.0744305   1.82252         
7.65566    2.4334         
2.40491   4.01019         
1.13448    5.3022         
1.5762   6.02508         
1.14308  0.515847         
1.11356   1.40168         
1.25411   1.64945         
1.89803   2.98353         
0.262606   1.55615         
1.74068   4.16825         
2.77591   3.51806         
1.65697   0.34534         
2.67225  0.812581         
2.0814   1.49757         
2.52661   2.01026         
3.01248   2.33996         
2.72242   2.89086         
3.12218   4.67168         
2.76006   4.61442         
2.96938   5.46577         
3.30774  0.603222         
4.87014   1.44094         
3.97223   2.00097         
2.84078   1.53231         
3.39188   2.73319         
1.85533   5.15801         
3.63212  0.481056         
3.68968    5.9449         
4.59538  0.138472         
5.68072   1.51179         
4.53848   3.62584         
2.67114   2.57535         
4.25458   4.42656         
