TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 7000
timestep             f_total        f_elasticity       f_contraction          f_adhesion             e_total        e_elasticity          e_adhesion       e_contraction
11.2             247.971             212.252             247.971             20.4669             1179.02             38.2088             72.8742             1122.59
11.3             247.971             212.227             247.971             20.4674                1179             38.1969             72.8749             1122.59
11.4              247.97             212.202              247.97             20.4679             1178.98              38.185             72.8756             1122.58
11.5             247.969             212.177             247.969             20.4684             1178.97             38.1731             72.8764             1122.58
11.6             247.969             212.151             247.969             20.4689             1178.95             38.1612             72.8771             1122.57
11.7             247.968             212.126             247.968             20.4694             1178.94             38.1494             72.8778             1122.57
11.8             247.967             212.101             247.967             20.4698             1178.92             38.1376             72.8786             1122.56
11.9             247.966             212.076             247.966             20.4703             1178.91             38.1258             72.8793             1122.56
12             247.966             212.051             247.966             20.4708             1178.89              38.114               72.88             1122.56
12.1             247.965             212.025             247.965             20.4712             1178.87             38.1022             72.8808             1122.55
12.2             247.964                 212             247.964             20.4716             1178.86             38.0905             72.8815             1122.55
12.3             247.963             211.975             247.963             20.4721             1178.84             38.0788             72.8822             1122.54
12.4             247.963             211.949             247.963             20.4725             1178.83             38.0671              72.883             1122.54
12.5             247.962             211.924             247.962             20.4729             1178.81             38.0555             72.8837             1122.53
12.6             247.961             211.899             247.961             20.4733              1178.8             38.0438             72.8845             1122.53
12.7             247.975             211.872             247.975             20.4755             1178.88             38.0277             72.8878             1122.63
12.8             247.974             211.847             247.974             20.4759             1178.86              38.016             72.8885             1122.62
12.9             247.973             211.821             247.973             20.4763             1178.85             38.0043             72.8893             1122.62
13             247.972             211.795             247.972             20.4766             1178.83             37.9927               72.89             1122.61
13.1             247.972             211.769             247.972              20.477             1178.81              37.981             72.8908             1122.61
13.2             247.971             211.744             247.971             20.4774              1178.8             37.9694             72.8915             1122.61
13.3              247.97             211.718              247.97             20.4778             1178.78             37.9578             72.8923              1122.6
13.4             247.969             211.692             247.969             20.4781             1178.77             37.9463              72.893              1122.6
13.5             247.969             211.666             247.969             20.4785             1178.75             37.9347             72.8938             1122.59
13.6             247.968              211.64             247.968             20.4788             1178.74             37.9232             72.8946             1122.59
13.7             247.967             211.614             247.967             20.4792             1178.72             37.9118             72.8953             1122.59
13.8             247.967             211.589             247.967             20.4795             1178.71             37.9003             72.8961             1122.58
13.9             247.966             211.563             247.966             20.4799             1178.69             37.8889             72.8968             1122.58
14             247.965             211.537             247.965             20.4802             1178.68             37.8775             72.8976             1122.57
14.1             247.964             211.511             247.964             20.4805             1178.66             37.8661             72.8984             1122.57
14.2             247.964             211.485             247.964             20.4808             1178.64             37.8547             72.8991             1122.56
14.3             247.963             211.459             247.963             20.4811             1178.63             37.8434             72.8999             1122.56
14.4             247.962             211.433             247.962             20.4814             1178.61             37.8321             72.9007             1122.56
14.5             247.961             211.407             247.961             20.4817              1178.6             37.8208             72.9014             1122.55
14.6             247.961             211.381             247.961              20.482             1178.58             37.8096             72.9022             1122.55
14.7              247.96             211.355              247.96             20.4823             1178.57             37.7984             72.9029             1122.54
14.8             247.959             211.329             247.959             20.4826             1178.55             37.7872             72.9037             1122.54
14.9             247.959             211.303             247.959             20.4829             1178.54              37.776             72.9045             1122.54
15             247.958             211.276             247.958             20.4832             1178.52             37.7649             72.9052             1122.53
15.1             247.957              211.25             247.957             20.4835             1178.51             37.7538              72.906             1122.53
15.2             247.956             211.224             247.956             20.4837             1178.49             37.7427             72.9068             1122.52
15.3             247.956             211.198             247.956              20.484             1178.48             37.7316             72.9075             1122.52
15.4             247.955             211.172             247.955             20.4843             1178.46             37.7206             72.9083             1122.51
15.5             247.954             211.146             247.954             20.4845             1178.45             37.7096             72.9091             1122.51
15.6             247.954             211.119             247.954             20.4848             1178.43             37.6986             72.9098             1122.51
15.7             247.953             211.093             247.953              20.485             1178.42             37.6877             72.9106              1122.5
