timestep = 0
vx	vy
3.41568	5.16605	
1.67396	4.66045	
1.69848	4.76874	
2.4977	3.86698	
2.66692	3.82954	
2.49643	4.993	
2.35605	5.08073	
1.36886	4.83988	
1.59819	4.79471	
0.310978	5.16585	
1.15315	6.08048	
1.20669	5.98662	
0.104031	5.69739	
0.11128	5.69616	
2.42612	8.79986	
2.1505	8.37585	
2.42071	7.89015	
2.8791	8.96494	
2.65867	9.08611	
5.6008	5.90862	
5.64005	5.90122	
5.55227	6.92667	
6.58535	7.4469	
9.02325	0.138719	
2.73814	1.35325	
2.89584	1.49315	
3.20618	1.38624	
2.63359	0.23863	
2.63291	0.231939	
6.0424	1.34012	
5.52475	0.752112	
4.95982	2.01385	
4.52798	1.32654	
4.59877	1.68209	
2.96962	3.7321	
3.05304	3.49124	
3.73099	4.55167	
3.32578	4.41985	
4.77983	3.99138	
4.2664	3.7695	
4.18007	3.63351	
5.2581	2.9241	
4.7809	2.36313	
4.22169	2.63947	
8.47877	1.13605	
9.34936	0.917804	
8.93474	2.06586	
8.95767	2.10439	
9.25877	2.21957	
4.82758	0.824202	
5.28111	0.625293	
3.97072	0.72227	
3.99706	0.686665	
7.97551	0.0286032	
8.22352	0.981012	
7.75663	0.675409	
7.5839	1.76606	
7.44503	1.8233	
6.31128	1.39485	
6.46977	1.67168	
4.00807	0.471634	
4.87638	0.271651	
6.51539	1.15161	
7.61378	0.714148	
timestep = 0.03
vx	vy
5.7496	9.37919	
6.63204	9.20876	
6.23938	5.14032	
8.86146	4.91051	
8.79265	4.99561	
9.392	7.27907	
1.05325	9.73828	
8.15301	3.79417	
5.84327	4.0175	
6.61913	3.83809	
4.19106	6.11947	
6.50205	7.88139	
4.87944	7.11375	
4.91871	7.36712	
4.92453	7.91058	
4.19437	6.50506	
2.34138	7.43598	
2.42455	7.08474	
3.87785	7.28165	
3.73284	7.71664	
6.60175	4.88009	
6.89802	4.05177	
7.49444	4.11235	
7.31592	4.1227	
7.41118	5.88262	
5.00341	4.59978	
4.25912	5.60143	
4.21029	5.94561	
9.73912	6.51259	
9.97414	6.00242	
0.0236606	5.89241	
1.65347	7.55868	
1.03804	6.95444	
0.949422	9.77415	
9.55355	8.34927	
9.05837	7.40401	
9.54363	8.64407	
9.90359	9.69886	
7.72464	8.11155	
6.78182	9.03523	
6.68286	9.23735	
8.74467	3.60964	
8.22098	3.7997	
8.28868	2.47949	
1.37249	3.48748	
1.25443	2.33849	
9.46918	3.43233	
9.26841	4.38541	
4.00884	5.22131	
2.52258	6.74479	
2.77643	6.13238	
1.17676	6.41309	
3.59114	8.10927	
1.05458	9.74807	
7.48844	5.81801	
7.15417	5.20012	
7.61948	4.5181	
8.28452	5.60743	
8.46522	5.32722	
6.06301	5.26618	
6.04035	5.3363	
6.98661	5.84936	
9.59892	5.98732	
9.1001	6.49889	
8.75401	7.36866	
8.71492	6.66066	
7.46906	7.90355	
8.53579	6.00434	
8.47615	5.99784	
7.07177	7.86696	
7.09865	7.52362	
7.04365	7.80987	
7.02808	7.80007	
9.52873	8.79	
9.52854	8.77191	
9.32745	8.71923	
8.24265	8.90717	
7.09795	9.26858	
8.50736	9.71678	
8.49428	9.5199	
8.48567	9.37581	
0.338601	9.87017	
6.60229	3.34306	
1.5892	3.15464	
1.62812	3.07922	
0.219771	1.65514	
9.9662	0.912541	
9.68222	3.20372	
9.36632	2.25878	
2.63771	5.84283	
4.9705	9.13294	
3.82717	8.28034	
5.08866	8.44491	
5.03288	8.27101	
3.56417	8.16283	
3.2911	8.78592	
2.45485	7.67512	
2.63967	9.13258	
1.14151	9.27848	
1.14314	8.85672	
6.35913	6.20226	
6.98718	7.74351	
5.70652	5.835	
0.488623	7.82841	
1.14882	8.49737	
1.1444	8.67182	
1.14564	8.80594	
0.540444	7.21575	
0.448934	7.24263	
3.85753	9.60444	
3.78731	9.68518	
4.68593	9.25842	
4.67351	9.28092	
5.0469	4.26142	
5.73182	4.06269	
6.9604	2.76041	
7.4242	2.8527	
8.04359	2.67522	
7.81186	2.84047	
6.48327	1.67951	
5.70548	3.04412	
5.66835	3.02147	
0.237846	4.69077	
0.429808	3.96879	
0.444471	3.70047	
3.04507	2.23965	
2.89389	2.58382	
1.76316	1.49657	
1.18064	1.83351	
0.659799	1.68478	
8.99196	0.188326	
9.59474	0.77042	
8.49605	1.13324	
9.75712	3.26588	
2.54511	5.60592	
2.75265	4.80792	
3.43356	5.16984	
1.67396	4.66045	
1.704	4.77654	
2.50923	3.8679	
2.66692	3.82954	
2.49643	4.993	
2.34804	5.08299	
1.36886	4.83988	
1.59819	4.79471	
0.301523	5.17531	
1.16023	6.08543	
1.18891	5.99005	
0.104031	5.69739	
0.11128	5.69616	
2.44504	8.80132	
2.14706	8.36731	
2.41928	7.87171	
2.8791	8.96494	
2.66495	9.09537	
5.59833	5.88903	
5.63485	5.89327	
5.54749	6.93297	
6.58535	7.4469	
9.02644	0.140831	
2.74513	1.36113	
2.88408	1.49439	
3.20618	1.38624	
2.63359	0.23863	
2.63291	0.231939	
6.0567	1.34092	
5.53203	0.766925	
4.96796	2.02324	
4.52935	1.34112	
4.59877	1.68209	
2.97373	3.72567	
3.04398	3.48639	
3.73553	4.55593	
3.33407	4.41925	
4.77308	4.00493	
4.27211	3.76285	
4.18867	3.63678	
5.25976	2.9129	
4.77651	2.35398	
4.2227	2.6313	
8.47877	1.13605	
9.35538	0.90413	
8.95409	2.07084	
8.96827	2.10785	
9.25877	2.21957	
4.84246	0.820475	
5.2992	0.621237	
3.97072	0.72227	
3.98704	0.686674	
7.98092	0.0354633	
8.22352	0.981012	
7.75308	0.679476	
7.56698	1.76707	
7.43225	1.81712	
6.30699	1.39674	
6.46977	1.67168	
3.99008	0.474735	
4.88684	0.270679	
6.51539	1.15161	
7.61378	0.714148	
timestep = 0.04
vx	vy
5.75754	9.36304	
6.63204	9.20876	
6.23938	5.14032	
8.86146	4.91051	
8.79265	4.99561	
9.38213	7.29405	
1.05325	9.73828	
8.15301	3.79417	
5.84327	4.0175	
6.62417	3.84195	
4.21032	6.12123	
6.50205	7.88139	
