timestep = 0
vx	vy
6.91206	8.51633	
3.52227	6.59836	
4.11521	7.93469	
8.62057	7.33295	
9.00187	1.10225	
8.51535	2.56437	
5.12355	3.02234	
4.90259	5.24019	
8.85252	3.2388	
8.65483	7.1578	
7.02023	5.70074	
4.5583	1.82645	
7.06623	9.83213	
0.838477	8.40372	
3.02346	6.50249	
1.86904	4.22813	
2.57658	1.6447	
3.32196	1.27816	
0.812013	0.350504	
0.805466	4.41355	
timestep = 0.29
vx	vy
6.91136	8.51617	
3.52581	6.59038	
4.12455	7.9397	
8.65142	7.32782	
9.00216	1.10076	
8.51149	2.56761	
5.11635	3.01429	
4.88981	5.24252	
8.84538	3.2356	
8.62291	7.16139	
7.01713	5.69954	
4.55732	1.82853	
7.0646	9.82816	
0.839486	8.40256	
3.02409	6.49565	
1.86376	4.22968	
2.56863	1.63562	
3.30942	1.27211	
0.816076	0.349168	
0.807958	4.41505	
timestep = 0.3
vx	vy
6.91099	8.51804	
3.52858	6.58281	
4.13209	7.94467	
8.63013	7.3226	
9.00136	1.09971	
8.50776	2.57123	
5.11131	3.0074	
4.87923	5.24458	
8.83833	3.2323	
8.64237	7.16369	
7.01305	5.69908	
4.55774	1.83002	
7.06355	9.82562	
0.840049	8.40121	
3.0249	6.48782	
1.85907	4.22866	
2.56072	1.62602	
3.29871	1.26629	
0.818153	0.348588	
0.808786	4.41425	
timestep = 0.31
vx	vy
6.91132	8.51953	
3.53102	6.57442	
4.13949	7.94869	
8.64513	7.31833	
9.00154	1.09767	
8.50399	2.57351	
5.10595	2.99959	
4.86878	5.24571	
8.82981	3.22852	
8.62585	7.1675	
7.0092	5.69734	
4.5585	1.83086	
7.06405	9.82277	
0.840648	8.40125	
3.02558	6.48071	
1.85466	4.22812	
2.55251	1.61577	
3.28796	1.25973	
0.819865	0.346655	
0.808147	4.41363	
timestep = 0.32
vx	vy
6.91061	8.51979	
3.53419	6.56673	
4.14665	7.95214	
8.62989	7.31341	
9.00186	1.09483	
8.50025	2.57677	
5.10038	2.99242	
4.85825	5.24707	
8.82293	3.22577	
8.63854	7.16931	
7.00495	5.69661	
4.55882	1.83054	
7.06356	9.81816	
0.841439	8.39879	
3.02688	6.47258	
1.85083	4.22653	
2.54696	1.60644	
3.27894	1.25253	
0.822856	0.34418	
0.808111	4.4124	
timestep = 0.33
vx	vy
6.91032	8.52156	
3.5358	6.55924	
4.15261	7.95612	
8.642	7.3095	
9.00153	1.09304	
8.49661	2.58056	
5.09503	2.98634	
4.84895	5.24895	
8.81618	3.22302	
8.62401	7.17068	
7.00268	5.69566	
4.55783	1.83127	
7.06327	9.81588	
0.841537	8.39768	
3.02646	6.46466	
1.84549	4.22406	
2.53904	1.59696	
3.2686	1.24623	
0.824303	0.342213	
